Name,type,value
Hoarfrost Umber,Culture,Northmen
Hoarfrost Umber,Book(s),A Dance with Dragons (mentioned)
Hobb,Alias,Three-Finger Hobb
Hobb,Allegiance,Night's Watch
Hobb,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Hobber Redwyne,Alias,Slobber
Hobber Redwyne,Title,Ser
Hobber Redwyne,Allegiance,House Redwyne
Hobber Redwyne,Culture,Reach
Hobber Redwyne,Born,At the Arbor;
Hobber Redwyne,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (appears) A Dance with Dragons (mentioned)
Hod,Book(s),A Clash of Kings (mentioned)
Hodor,Alias,Hodor
Hodor,Allegiance,House Stark
Hodor,Culture,Northmen
Hodor,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Hodor,Played by,Kristian Nairn ~ Season 1 - Season 4; Season 6 Sam Coleman ~ Season 6
Hodor,TV series,Season 1
Hoke,Alias,Hoke the Horseleg
Hoke,Allegiance,House Lannister
Hoke,Book(s),A Feast for Crows (mentioned)
Holger,Allegiance,Stone Crows
Holger,Culture,Vale mountain clans
Holger,Book(s),A Clash of Kings (mentioned)
Holly,Culture,Free Folk
Holly,Born,In 283 AC; 284 AC or 285 AC;
Holly,Died,In 300 AC; at Winterfell
Holly,Book(s),A Dance with Dragons (mentioned)
Hop-Robin,Allegiance,Night's Watch
Hop-Robin,Book(s),A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Horas Redwyne,Alias,Horror
Horas Redwyne,Title,Ser
Horas Redwyne,Allegiance,House Redwyne
Horas Redwyne,Culture,Reach
Horas Redwyne,Born,At the Arbor;
Horas Redwyne,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (appears) A Dance with Dragons (mentioned)
Horton Redfort,Title,Lord of Redfort
Horton Redfort,Allegiance,House Redfort;Lords Declarant
Horton Redfort,Culture,Valemen
Horton Redfort,Book(s),A Storm of Swords (mentioned) A Feast for Crows (appears) A Dance with Dragons (mentioned)
Hosman Norcross,Title,Ser
Hosman Norcross,Allegiance,House Norcross
Hosman Norcross,Spouse,Delena Florent
Hosman Norcross,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Hosteen Frey,Alias,Ser Stupid
Hosteen Frey,Title,Ser
Hosteen Frey,Allegiance,House Frey
Hosteen Frey,Born,In or between 249 AC and 258 AC;
Hosteen Frey,Spouse,Bellena Hawick
Hosteen Frey,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Hoster Frey,Allegiance,House Frey
Hoster Frey,Born,In 287 AC;
Hoster Frey,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Hoster Tully,Title,Lord Paramount of the Trident;Lord of Riverrun
Hoster Tully,Allegiance,House Tully
Hoster Tully,Culture,Rivermen
Hoster Tully,Born,In or between 237 AC and 240 AC;
Hoster Tully,Died,In 299 AC; at Riverrun
Hoster Tully,Spouse,Lady Minisa Whent
Hoster Tully,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Hot Pie,Book(s),A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned)
Hot Pie,Played by,Ben Hawkey
Hot Pie,TV series,Season 1
Hother Umber,Alias,Hother Whoresbane;Whoresbane Umber
Hother Umber,Title,Castellan of Last Hearth
Hother Umber,Allegiance,House Umber
Hother Umber,Culture,Northmen
Hother Umber,Born,In 241 AC or before; at Last Hearth;
Hother Umber,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Hotho Harlaw,Alias,Hotho Humpback
Hotho Harlaw,Title,Master of the Tower of Glimmering
Hotho Harlaw,Allegiance,House Harlaw of the Tower of Glimmering
Hotho Harlaw,Culture,Ironborn
Hotho Harlaw,Book(s),A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Hotho Harlaw,Personal Arms,The Harlaw scythe girdled within an embattled border.
Howd Wanderer,Alias,Wanderer
Howd Wanderer,Culture,Free Folk
Howd Wanderer,Book(s),A Dance with Dragons (appears)
Howland Reed,Title,Lord of Greywater Watch
Howland Reed,Allegiance,House Reed
Howland Reed,Culture,Crannogmen
Howland Reed,Born,In or between 260 AC and 265 AC; at Greywater Watch;
Howland Reed,Spouse,Jyana
Howland Reed,Book(s),A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Howland Reed,Played by,Leo Woodruff
Howland Reed,TV series,Season 6
Hubard Rambton,Title,Ser
Hubard Rambton,Allegiance,House Rambton
Hubard Rambton,Died,In 299 AC; at Dragonstone
Hubard Rambton,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned)
Hugh,Alias,Ser Hugh of the Vale
Hugh,Title,Ser
Hugh,Allegiance,House Arryn
Hugh,Culture,Valemen
Hugh,Died,In 298 AC; at King's Landing
Hugh,Book(s),A Game of Thrones (appears)
Hugh Beesbury,Title,Ser
Hugh Beesbury,Allegiance,House Beesbury
Hugh Beesbury,Book(s),A Feast for Crows (mentioned)
Hugh Hammer,Alias,Hard Hugh;The Betrayer;Lord Hammer
Hugh Hammer,Title,Ser;Lord of Bitterbridge
Hugh Hammer,Allegiance,Blacks;Greens
Hugh Hammer,Died,In 130 AC; at Tumbleton
Hugh Hammer,Book(s),The World of Ice and Fire (mentioned) The Princess and the Queen (mentioned)
Hugo Vance,Title,Ser
Hugo Vance,Allegiance,House Vance of Atranta
Hugo Vance,Book(s),A Storm of Swords (mentioned) A Feast for Crows (appears)
Hugo Wull,Title,Big Bucket;The Wull
Hugo Wull,Allegiance,House Wull
Hugo Wull,Culture,Northern mountain clans
Hugo Wull,Book(s),A Feast for Crows (mentioned) A Dance with Dragons (appears)
Hugor of the Hill,Alias,Hukko (unconfirmed)
Hugor of the Hill,Title,King of the Andals
Hugor of the Hill,Culture,Andals
Hugor of the Hill,Book(s),A Dance with Dragons (mentioned) The World of Ice and Fire (mentioned)
Hullen,Title,Master of horse at Winterfell
Hullen,Allegiance,House Stark
Hullen,Culture,Northmen
Hullen,Died,In 298 AC; at King's Landing
Hullen,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Dance with Dragons (mentioned)
Humfrey Beesbury,Title,Ser
Humfrey Beesbury,Allegiance,House Beesbury
Humfrey Beesbury,Died,In 209 AC; at Ashford
Humfrey Beesbury,Book(s),The Hedge Knight (appears) The Sworn Sword (mentioned)
Humfrey Clifton,Title,Ser
Humfrey Clifton,Allegiance,House Clifton;House Baratheon of Dragonstone
Humfrey Clifton,Book(s),A Dance with Dragons (mentioned)
Humfrey Hardyng,Title,Ser
Humfrey Hardyng,Allegiance,House Hardyng
Humfrey Hardyng,Died,In 209 AC; at Ashford
Humfrey Hardyng,Book(s),The Hedge Knight (appears) The Sworn Sword (mentioned)
Humfrey Hewett,Title,Lord of Oakenshield
Humfrey Hewett,Allegiance,House Hewett
Humfrey Hewett,Book(s),A Feast for Crows(appears) A Dance with Dragons (mentioned)
Humfrey Swyft,Title,Ser
Humfrey Swyft,Allegiance,House Swyft
Humfrey Swyft,Book(s),A Feast for Crows (appears) A Dance with Dragons (mentioned)
Humfrey Wagstaff,Title,Ser;Castellan of Grandview
Humfrey Wagstaff,Allegiance,House Wagstaff;House Grandison
Humfrey Wagstaff,Born,In 230 AC; 231 AC or 232 AC;
Humfrey Wagstaff,Book(s),A Feast for Crows (mentioned)
Hunnimore,Title,Maester
Hunnimore,Book(s),The Princess and the Queen (mentioned)
Husband,Spouse,Sharna
Husband,Book(s),A Storm of Swords (appears) A Feast for Crows (mentioned)
Hyle Hunt,Title,Ser
Hyle Hunt,Allegiance,House Hunt
Hyle Hunt,Book(s),A Feast for Crows (appears)
Iggo,Allegiance,Brave Companions
Iggo,Culture,Dothraki
Iggo,Died,In 299 AC; at Riverlands
Iggo,Book(s),A Storm of Swords (appears)
Igon Vyrwel,Allegiance,House Vyrwel;House Tyrell
Igon Vyrwel,Book(s),A Game of Thrones (appendix) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Illifer,Alias,Illifer the Penniless
Illifer,Title,Ser
Illifer,Born,In 240 AC or before;
Illifer,Book(s),A Feast for Crows (mentioned)
Illifer,Personal Arms,Gold and ermine gyronny
Illyrio Mopatis,Alias,The Cheesemonger;The Fat Man;The Lord of Cheese
Illyrio Mopatis,Title,Magister of Pentos
Illyrio Mopatis,Allegiance,House Targaryen
Illyrio Mopatis,Culture,Pentoshi
Illyrio Mopatis,Born,At Pentos;
Illyrio Mopatis,Spouse,1st: Cousin to the Prince of Pentos2nd: Serra
Illyrio Mopatis,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Illyrio Mopatis,Played by,Roger Allam
Illyrio Mopatis,TV series,Season 1
Ilyn Payne,Title,Ser King's Justice
Ilyn Payne,Allegiance,House Payne
Ilyn Payne,Culture,Westeros
Ilyn Payne,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (appears) A Dance with Dragons (mentioned)
Ilyn Payne,Played by,Wilko Johnson
Ilyn Payne,TV series,Season 1
Imry Florent,Alias,The Fool of Florent
Imry Florent,Title,Ser;Lord High Captain
Imry Florent,Allegiance,House Florent
Imry Florent,Died,In 299 AC; at the Blackwater Rush
Imry Florent,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Imry Florent,Played by,Gordon Mahon (listed as Gordan Mahon);
Imry Florent,TV series,Season 2
Iron Emmett,Alias,Iron Emmett
Iron Emmett,Allegiance,Night's Watch
Iron Emmett,Book(s),A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Ironbelly,Alias,Ironbelly
Ironbelly,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned)
Irri,Allegiance,House Targaryen
Irri,Culture,Dothraki
Irri,Born,In 283 AC or 284 AC;
Irri,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Irri,Played by,Amrita Acharia
Irri,TV series,Season 1
Jacelyn Bywater,Alias,Ironhand
Jacelyn Bywater,Title,Ser;Captain of the Mud Gate;Commander of the City Watch;Lord
Jacelyn Bywater,Allegiance,House Bywater;City Watch of King's Landing
Jacelyn Bywater,Died,In 299 AC; at King's Landing
Jacelyn Bywater,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Jack-Be-Lucky,Alias,Jack-Be-Lucky
Jack-Be-Lucky,Allegiance,Brotherhood without banners
Jack-Be-Lucky,Book(s),A Storm of Swords (appears) A Feast for Crows (appears)
Jacks,Allegiance,House Stark
Jacks,Culture,northmen
Jacks,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Jaehaera Targaryen,Title,Princess;Queen
Jaehaera Targaryen,Allegiance,House Targaryen;Greens
Jaehaera Targaryen,Culture,Valyrian
Jaehaera Targaryen,Born,In 123 AC;
Jaehaera Targaryen,Died,In 133 AC; at King's Landing
Jaehaera Targaryen,Spouse,King Aegon III Targaryen
Jaehaera Targaryen,Book(s),The Rogue Prince (mentioned) The Princess and the Queen (mentioned) The World of Ice and Fire (mentioned)
Jaehaerys I Targaryen,Reign,48 AC - 103 AC
Jaehaerys I Targaryen,Full Name,Jaehaerys Targaryen the First of His Name
Jaehaerys I Targaryen,Alias,The Conciliator;The Wise;The Old King
Jaehaerys I Targaryen,Other Titles,King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm
Jaehaerys I Targaryen,Born in,34 AC; at King's Landing
Jaehaerys I Targaryen,Died in,103 AC; at King's Landing
Jaehaerys I Targaryen,Royal House,House Targaryen
Jaehaerys I Targaryen,Predecessor,Maegor I Targaryen
Jaehaerys I Targaryen,Heir,1st: Aemon Targaryen (?-92 AC)2nd: Baelon Targaryen (92 AC-101 AC)3rd: Viserys Targaryen (101 AC-103 AC)
Jaehaerys I Targaryen,Successor,Viserys I Targaryen
Jaehaerys I Targaryen,Queen,Alysanne Targaryen
Jaehaerys I Targaryen,Issue,Aegon Targaryen;Alyssa Targaryen;Aemon Targaryen;Baelon Targaryen;Daella Targaryen;Aeryn Targaryen;Vaegon Targaryen;Maegelle Targaryen;Valerion Targaryen;Viserra Targaryen;Gaemon Targaryen;Saera Targaryen;Gael Targaryen
Jaehaerys I Targaryen,Father,Aenys I Targaryen
Jaehaerys I Targaryen,Mother,Alyssa Velaryon;
Jaehaerys I Targaryen,Book(s),The World of Ice and Fire (mentioned) The Rogue Prince (mentioned) The Princess and the Queen (mentioned) A Game of Thrones (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Jaehaerys Targaryen (son of Aegon II),Title,Prince
Jaehaerys Targaryen (son of Aegon II),Allegiance,House Targaryen;Greens
Jaehaerys Targaryen (son of Aegon II),Born,In 123 AC
Jaehaerys Targaryen (son of Aegon II),Died,In 129 AC; at the Tower of the Hand at King's Landing
Jaehaerys Targaryen (son of Aegon II),Book(s),The Rogue Prince (mentioned) The Princess and the Queen (mentioned)
Jaehaerys II Targaryen,Reign,259 AC - 262 AC
Jaehaerys II Targaryen,Full Name,Jaehaerys Targaryen the Second of His Name
Jaehaerys II Targaryen,Other Titles,King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm
Jaehaerys II Targaryen,Born in,225 AC; at King's Landing;
Jaehaerys II Targaryen,Died in,262 AC; at King's Landing;
Jaehaerys II Targaryen,Royal House,House Targaryen
Jaehaerys II Targaryen,Predecessor,Aegon V Targaryen
Jaehaerys II Targaryen,Heir,Aerys II Targaryen
Jaehaerys II Targaryen,Successor,Aerys II Targaryen
Jaehaerys II Targaryen,Queen,Shaera Targaryen
Jaehaerys II Targaryen,Issue,Aerys II Targaryen;Rhaella Targaryen
Jaehaerys II Targaryen,Father,Aegon V Targaryen
Jaehaerys II Targaryen,Mother,Betha Blackwood
Jaehaerys II Targaryen,Book(s),The World of Ice and Fire (mentioned) A Game of Thrones (mentioned) A Storm of Swords (mentioned) A Dance with Dragons (mentioned)
Jafer Flowers,Allegiance,Night's Watch
Jafer Flowers,Died,In 298 AC; at the Haunted Forest
Jafer Flowers,Book(s),A Game of Thrones (appears)
Jaggot,Allegiance,Stone Crows
Jaggot,Culture,Vale mountain clans
Jaggot,Book(s),A Game of Thrones (appears)
Jaime Frey,Allegiance,House Frey
Jaime Frey,Born,In 299 AC or 300 AC;
Jaime Frey,Book(s),A Feast for Crows (mentioned)
Jaime Lannister,Alias,The Kingslayer;The Lion of Lannister;The Young Lion;Cripple
Jaime Lannister,Title,Ser;Lord Commander of the Kingsguard;Warden of the East (formerly)
Jaime Lannister,Allegiance,House Lannister;Kingsguard
Jaime Lannister,Culture,Westerlands
Jaime Lannister,Born,In 266 AC;; at Casterly Rock
Jaime Lannister,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (POV) A Feast for Crows (POV) A Dance with Dragons (POV)
Jaime Lannister,Played by,Nikolaj Coster-Waldau
Jaime Lannister,TV series,Season 1
Jalabhar Xho,Title,Prince of the Red Flower Vale
Jalabhar Xho,Allegiance,Summer Islands
Jalabhar Xho,Culture,Summer Islands
Jalabhar Xho,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (appears) A Dance with Dragons (mentioned)
Jammos Frey,Title,Ser
Jammos Frey,Allegiance,House Frey
Jammos Frey,Born,In 266 AC or 267 AC;
Jammos Frey,Spouse,Sallei Paege
Jammos Frey,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Janei Lannister,Allegiance,House Lannister
Janei Lannister,Born,In 296 AC or 297 AC;
Janei Lannister,Book(s),A Game of Thrones (appendix) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Janna Tyrell,Allegiance,House Tyrell;House Fossoway of New Barrel
Janna Tyrell,Spouse,Ser Jon Fossoway
Janna Tyrell,Book(s),A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (appears) A Dance with Dragons (mentioned)
Janos Slynt,Title,Commander of the City Watch Lord of Harrenhal
Janos Slynt,Allegiance,Night's Watch;House Slynt;City Watch of King's Landing
Janos Slynt,Born,In or between 278 AC and 260 AC; at King's Landing;
Janos Slynt,Died,In 300 AC; at Castle Black
Janos Slynt,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Janos Slynt,Played by,Dominic Carter
Janos Slynt,TV series,Season 1
Jaqen H'ghar,Alias,Lorath
Jaqen H'ghar,Allegiance,Faceless Men
Jaqen H'ghar,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (appears) A Dance with Dragons (mentioned)
Jaqen H'ghar,Played by,Tom Wlaschiha and Patrick O'Kane (as Jaqen's new face);
Jaqen H'ghar,TV series,Season 2
Jared Frey,Title,Ser
Jared Frey,Allegiance,House Frey
Jared Frey,Born,At 248 AC or 249 AC;
Jared Frey,Died,In 300 AC (suspected)
Jared Frey,Spouse,Alys Frey
Jared Frey,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Jaremy Rykker,Title,Seracting First Ranger
Jaremy Rykker,Allegiance,Night's Watch
Jaremy Rykker,Died,In 298 AC; at Castle Black
Jaremy Rykker,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Dance with Dragons (mentioned)
Jarl,Culture,Free Folk
Jarl,Died,In 299 AC; at the Wall
Jarl,Book(s),A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Jarmen Buckwell,Title,Ser
Jarmen Buckwell,Allegiance,House Buckwell;Night's Watch
Jarmen Buckwell,Died,In 300 AC (supposedly)
Jarmen Buckwell,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned) A Dance with Dragons (mentioned)
Jason Mallister,Title,Lord of Seagard
Jason Mallister,Allegiance,House Mallister
Jason Mallister,Culture,Riverlands
Jason Mallister,Born,At Seagard;
Jason Mallister,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Jason Lannister,Title,Ser;Lord of Casterly Rock;Shield of Lannisport;Warden of the West
Jason Lannister,Allegiance,House Lannister;Greens
Jason Lannister,Died,In 130 AC; at the Red Fork
Jason Lannister,Spouse,Lady Johanna Lannister
Jason Lannister,Book(s),The World of Ice and Fire (mentioned) The Rogue Prince (mentioned) The Princess and the Queen (mentioned)
Jasper Arryn,Title,Lord of the Eyrie Defender of the Vale;Warden of the East
Jasper Arryn,Allegiance,House Arryn
Jasper Arryn,Book(s),A Feast for Crows (mentioned)
Jasper Wylde,Alias,Ironrod
Jasper Wylde,Title,Lord of the Rain House;Master of laws
Jasper Wylde,Allegiance,House Wylde;Greens
Jasper Wylde,Died,In 130 AC; at King's Landing;
Jasper Wylde,Book(s),The Princess and the Queen (mentioned)
Jasper Redfort,Title,Ser
Jasper Redfort,Allegiance,House Redfort
Jasper Redfort,Culture,Valemen
Jasper Redfort,Book(s),A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Jasper Waynwood,Allegiance,House Waynwood
Jasper Waynwood,Book(s),A Feast for Crows (mentioned)
Jate,Died,In 300 AC; at Riverlands
Jate,Book(s),A Feast for Crows (mentioned)
Jate Blackberry,Allegiance,House Blackberry;House Baratheon of Dragonstone
Jate Blackberry,Book(s),A Storm of Swords (mentioned)
Jayde,Allegiance,Chataya's brothel
Jayde,Book(s),A Storm of Swords (mentioned)
Jayne Bracken,Allegiance,House Bracken
Jayne Bracken,Book(s),A Dance with Dragons (mentioned)
Jeffory Mallister,Allegiance,House Mallister
Jeffory Mallister,Died,At King's Landing
Jeffory Mallister,Book(s),A Clash of Kings (mentioned)
Jeffory Norcross,Alias,Neveryield
Jeffory Norcross,Title,Ser
Jeffory Norcross,Allegiance,House Norcross;Kingsguard
Jeffory Norcross,Book(s),A Feast for Crows (mentioned)
Jenny (Oldstones),Spouse,Prince Duncan Targaryen
Jenny (Oldstones),Book(s),The World of Ice and Fire (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Jeor Mormont,Alias,The Old Bear
Jeor Mormont,Title,Lord of Bear Island (formerly)Lord Commander of the Night's Watch
Jeor Mormont,Allegiance,House Mormont;Night's Watch
Jeor Mormont,Culture,Northmen
Jeor Mormont,Born,In 230 AC;
Jeor Mormont,Died,In 299 AC; at Craster's Keep
Jeor Mormont,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Jeor Mormont,Played by,James Cosmo
Jeor Mormont,TV series,Season 1
Jeren,Allegiance,Night's Watch
Jeren,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Squinty Jeyne,Alias,Squinty Jeyne
Squinty Jeyne,Allegiance,House Osgrey
Squinty Jeyne,Book(s),The Sworn Sword (mentioned)
Jeyne Arryn,Alias,The Maiden of the Vale
Jeyne Arryn,Title,Lady of the Eyrie;Defender of the Vale;Warden of the East;Lady Regent
Jeyne Arryn,Allegiance,House Arryn;Blacks
Jeyne Arryn,Culture,The Vale
Jeyne Arryn,Died,In 134 AC; at Gulltown
Jeyne Arryn,Book(s),The World of Ice and Fire (mentioned) The Rogue Prince (mentioned) The Princess and the Queen (mentioned)
Jeyne Beesbury,Allegiance,House Beesbury;House Frey
Jeyne Beesbury,Spouse,Rhaegar Frey
Jeyne Beesbury,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Jeyne Darry,Allegiance,House Darry;House Frey
Jeyne Darry,Culture,Westeros
Jeyne Darry,Spouse,Ser Cleos Frey
Jeyne Darry,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Jeyne Fossoway,Allegiance,House Fossoway of New Barrel
Jeyne Fossoway,Spouse,Ser Gunthor Hightower
Jeyne Fossoway,Book(s),A Feast for Crows (appendix)
Jeyne Goodbrook,Allegiance,House Goodbrook
Jeyne Goodbrook,Born,In 293 AC;
Jeyne Goodbrook,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Jeyne Heddle,Alias,Long Jeyne
Jeyne Heddle,Allegiance,Brotherhood Without Banners
Jeyne Heddle,Born,In 281 AC or 282 AC;
Jeyne Heddle,Book(s),A Feast for Crows (appears)
Jeyne Lothston,Allegiance,House Lothston
Jeyne Lothston,Born,In 164 AC;
Jeyne Lothston,Book(s),The World of Ice and Fire (mentioned)
Jeyne Lydden,Allegiance,House Lydden
Jeyne Lydden,Spouse,Stevron Frey
Jeyne Lydden,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Jeyne Poole,Alias,Arya Stark
Jeyne Poole,Allegiance,House Poole
Jeyne Poole,Culture,Northmen
Jeyne Poole,Born,At Winterfell;
Jeyne Poole,Spouse,Ramsay Bolton
Jeyne Poole,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears) The Winds of Winter (appears)
Jeyne Rivers,Allegiance,House Frey
Jeyne Rivers,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Jeyne Swann,Allegiance,House Swann
Jeyne Swann,Book(s),A Storm of Swords (mentioned)
Jeyne Waters,Culture,Westeros
Jeyne Waters,Born,In or between 171 AC and 176 AC;
Jeyne Waters,Book(s),The World of Ice and Fire (mentioned)
Jeyne Westerling (wife of Maegor I),Title,Queen;Black Bride
Jeyne Westerling (wife of Maegor I),Allegiance,House Westerling;House Tarbeck;House Targaryen
Jeyne Westerling (wife of Maegor I),Born,In 27 AC or before;
Jeyne Westerling (wife of Maegor I),Died,In 47 AC or 48 AC;
Jeyne Westerling (wife of Maegor I),Spouse,1st: Lord Alyn Tarbeck2nd: King Maegor I Targaryen
Jeyne Westerling (wife of Maegor I),Book(s),The World of Ice and Fire (mentioned) A Storm of Swords (mentioned)
Jeyne Westerling,Title,Queen;Lady of Winterfell
Jeyne Westerling,Allegiance,House Westerling;House Stark
Jeyne Westerling,Culture,Westermen
Jeyne Westerling,Born,In 283 AC; at the Crag;
Jeyne Westerling,Spouse,King Robb Stark
Jeyne Westerling,Book(s),A Storm of Swords (appears) A Feast For Crows (appears)
Jhaqo,Title,Khal;Ko (formerly)
Jhaqo,Culture,Dothraki
Jhaqo,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Jhaqo,Played by,Joe Naufahu
Jhaqo,TV series,Season 6
Jhezane,Alias,Jhezane;
Jhezane,Title,Cupbearer
Jhezane,Culture,Ghiscari
Jhezane,Born,At Meereen
Jhezane,Book(s),A Dance with Dragons (appears)
Jhiqui,Allegiance,House Targaryen
Jhiqui,Culture,Dothraki
Jhiqui,Born,In 284 AC;
Jhiqui,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Jhiqui,Played by,Sarita Piotrowski
Jhiqui,TV series,Season 1
Jhogo,Title,Ko;Bloodrider
Jhogo,Allegiance,House Targaryen
Jhogo,Culture,Dothraki
Jhogo,Born,In or between 281 AC and 283 AC; at Dothraki sea
Jhogo,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Joanna Lannister,Title,Lady of Casterly Rock
Joanna Lannister,Allegiance,House Lannister
Joanna Lannister,Culture,Westerman
Joanna Lannister,Born,In or between 245 AC and 250 AC; at Casterly Rock
Joanna Lannister,Died,In 273 AC;
Joanna Lannister,Spouse,Lord Tywin Lannister
Joanna Lannister,Book(s),A Game of Thrones (appendix) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Joanna Swyft,Allegiance,House Swyft
Joanna Swyft,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Jocelyn Swyft,Allegiance,House Swyft
Jocelyn Swyft,Book(s),A Feast for Crows (appears) A Dance with Dragons (appears)
Jodge,Allegiance,House Lannister
Jodge,Book(s),A Clash of Kings (mentioned)
Joffrey Baratheon,Reign,298 AC - 300 AC
Joffrey Baratheon,Full Name,Joffrey Baratheon the First of His Name
Joffrey Baratheon,Alias,Joffrey the Illborn;The Young Usurper;Aerys the Third;Joffrey-called-Baratheon
